outage_id,customers_affected,start_time,estimated_restore,status_code,status,latest_raw_cause_code,latest_raw_cause_label,analysis_cause_code,analysis_cause_label,has_known_cause,known_cause_last_seen_at,municipality_id,municipality_label,municipality_name,municipality_full_name,mrc_name,region_name,is_geocoded,active_capture_at,first_capture_at,last_capture_at,capture_count,observed_duration_hours,outage_age_hours_at_capture,restore_eta_hours_at_capture,lon,lat,is_major_outage
"4410_[-73.36798729179792, 45.59672846761711]_2026-07-04 15:18:39",3054,2026-07-04 15:18:39,2026-07-04 17:15:00,R,en_route,44.0,accident,44.0,accident,true,2026-07-04 20:03:10,4410,Longueuil,Longueuil,Ville de Longueuil,Longueuil,Montérégie,true,2026-07-04 20:03:10,2026-07-04 15:34:00,2026-07-04 20:03:10,2,5,5,-3,-73.36798729179792,45.59672846761711,true
"5916_[-67.15358573724966, 47.951467718093426]_2026-07-04 15:25:26",937,2026-07-04 15:25:26,2026-07-04 17:30:00,N,new,,unknown,,unknown,false,,5916,Saint-Alexis-de-Matapédia,Saint-Alexis-de-Matapédia,Municipalité de Saint-Alexis-de-Matapédia,Avignon,Gaspésie–Îles-de-la-Madeleine,true,2026-07-04 20:03:10,2026-07-04 20:03:10,2026-07-04 20:03:10,1,0,5,-3,-67.15358573724966,47.95146771809343,false
"1413_[-73.81298971589081, 45.6646682721578]_2026-07-02 18:18:10",597,2026-07-02 18:18:10,2026-07-04 19:15:00,L,working,,unknown,,unknown,false,,1413,Blainville,Blainville,Ville de Blainville,Thérèse-De Blainville,Laurentides,true,2026-07-04 20:03:10,2026-07-04 09:57:48,2026-07-04 20:03:10,10,11,50,-1,-73.81298971589081,45.6646682721578,false
"0107_[-73.61126150663164, 45.4186102361901]_2026-07-04 14:17:05",149,2026-07-04 14:17:05,2026-07-04 16:15:00,N,new,,unknown,,unknown,false,,107,Montréal,Montréal,Ville de Montréal,Montréal,Montréal,true,2026-07-04 20:03:10,2026-07-04 15:34:00,2026-07-04 20:03:10,3,5,6,-4,-73.61126150663164,45.4186102361901,false
"5820_[-73.72894418170188, 45.84434105719095]_2026-07-04 11:01:06",104,2026-07-04 11:01:06,,L,working,,unknown,,unknown,false,,5820,Saint-Lin–Laurentides,Saint-Lin–Laurentides,Ville de Saint-Lin–Laurentides,Montcalm,Lanaudière,true,2026-07-04 20:03:10,2026-07-04 15:34:00,2026-07-04 20:03:10,6,5,9,,-73.72894418170188,45.84434105719095,false
"9431_[-75.63088296941253, 45.675373924598084]_2026-07-04 11:20:48",86,2026-07-04 11:20:48,2026-07-04 17:15:00,L,working,51.0,vegetation,51.0,vegetation,true,2026-07-04 20:03:10,9431,Val-des-Monts,Val-des-Monts,Municipalité de Val-des-Monts,Les Collines-de-l'Outaouais,Outaouais,true,2026-07-04 20:03:10,2026-07-04 15:34:00,2026-07-04 20:03:10,6,5,9,-3,-75.63088296941253,45.67537392459808,false
"1000_[-73.56409191945137, 45.51775011727819]_2026-07-04 12:55:16",78,2026-07-04 12:55:16,,L,working,,unknown,,unknown,false,,1000,Montréal,Montréal,Ville de Montréal,Montréal,Montréal,true,2026-07-04 20:03:10,2026-07-04 15:34:00,2026-07-04 20:03:10,4,5,8,,-73.56409191945137,45.51775011727819,false
"1413_[-73.8256203894844, 45.66940744193873]_2026-07-02 18:18:10",70,2026-07-02 18:18:10,2026-07-04 16:15:00,R,en_route,51.0,vegetation,51.0,vegetation,true,2026-07-04 20:03:10,1413,Blainville,Blainville,Ville de Blainville,Thérèse-De Blainville,Laurentides,true,2026-07-04 20:03:10,2026-07-04 04:32:20,2026-07-04 20:03:10,14,16,50,-4,-73.8256203894844,45.66940744193873,false
"5715_[-76.72597256225532, 48.288478289423765]_2026-07-01 16:27:43",57,2026-07-01 16:27:43,2026-07-04 16:15:00,R,en_route,51.0,vegetation,51.0,vegetation,true,2026-07-04 20:03:10,5715,Senneterre,Senneterre,Ville de Senneterre,La Vallée-de-l'Or,Abitibi-Témiscamingue,true,2026-07-04 20:03:10,2026-07-04 07:35:07,2026-07-04 20:03:10,11,13,76,-4,-76.72597256225532,48.288478289423765,false
"5509_[-74.3751094394987, 45.46049728576493]_2026-07-04 15:15:13",57,2026-07-04 15:15:13,2026-07-04 18:00:00,L,working,33.0,accident,33.0,accident,true,2026-07-04 20:03:10,5509,Rigaud,Rigaud,Ville de Rigaud,Vaudreuil-Soulanges,Montérégie,true,2026-07-04 20:03:10,2026-07-04 15:34:00,2026-07-04 20:03:10,2,5,5,-2,-74.3751094394987,45.46049728576493,false
