date,snapshots_count,max_active_outages_estimate,avg_active_outages_estimate,max_customers_affected,avg_customers_affected,max_municipalities_affected,max_major_outages,new_outages_detected,raw_rows_count,unique_outages_observed,unknown_cause_rows,municipalities_observed
2026-03-30,9,107,46.67,9032,2867.44,56,3,214,420,214,125,122
2026-03-31,16,83,28.75,17597,3938.0,65,4,244,460,246,149,140
2026-04-01,16,100,37.38,5441,2506.13,64,1,223,598,227,156,142
2026-04-02,17,132,34.0,11005,3108.06,76,1,275,578,278,211,144
2026-04-03,18,44,29.0,9237,2860.33,39,2,157,522,166,400,112
2026-04-04,21,41,23.9,7196,1512.95,34,4,110,502,131,342,92
2026-04-05,19,118,87.79,22340,11597.63,88,9,343,1668,346,1353,172
2026-04-06,17,75,31.0,4517,1415.12,36,2,152,527,181,342,87
2026-04-07,15,121,37.27,4854,1738.87,85,2,229,559,234,130,149
2026-04-08,15,112,33.93,5992,1752.8,79,1,206,509,210,127,143
2026-04-09,14,115,39.21,16465,6098.0,80,7,263,549,268,170,172
2026-04-10,17,57,25.41,6880,2253.65,37,1,185,432,199,212,123
2026-04-11,20,25,13.2,5701,2014.15,18,2,86,264,91,137,62
2026-04-12,19,26,15.0,9247,2503.63,22,5,98,285,102,151,66
2026-04-13,13,108,33.77,15890,4251.46,43,7,272,439,274,280,119
2026-04-14,13,99,39.0,8854,4677.92,76,2,178,507,184,155,129
2026-04-15,14,99,45.14,8754,6407.64,74,2,141,632,193,152,127
2026-04-16,14,80,23.43,4162,1922.43,62,2,172,328,177,122,120
2026-04-17,17,66,29.94,7767,2636.24,48,2,176,509,183,196,122
2026-04-18,18,83,33.56,14057,4009.56,58,4,224,604,231,478,126
2026-04-19,19,73,43.84,9832,4460.05,57,3,183,833,218,497,130
2026-04-20,12,94,31.42,5952,2407.83,70,1,188,377,198,93,136
2026-04-21,13,118,41.38,15531,4534.08,77,6,226,538,229,99,135
2026-04-22,13,107,35.23,7428,2503.92,83,1,181,458,185,114,129
2026-04-23,13,90,31.38,4116,1653.15,68,1,175,408,178,137,121
2026-04-24,15,53,23.67,5122,2411.47,40,1,148,355,156,145,112
2026-04-25,18,25,12.89,6246,2553.83,18,3,83,232,84,96,56
2026-04-26,18,19,8.44,3858,710.11,18,1,58,152,61,96,50
2026-04-27,11,92,45.36,13994,4526.91,61,5,230,499,231,161,131
2026-04-28,10,139,58.3,18306,7063.5,109,6,273,583,284,298,186
2026-04-29,11,111,37.27,5670,2238.64,91,1,202,410,219,140,151
2026-04-30,12,81,27.42,3553,1514.17,61,1,186,329,188,170,125
2026-05-01,15,44,20.73,6370,2334.47,33,2,130,311,136,156,95
2026-05-02,17,26,13.71,2493,915.29,17,1,75,233,79,132,58
2026-05-03,16,25,10.44,3530,569.19,17,1,62,167,65,114,43
2026-05-04,11,59,25.0,4736,1696.64,42,1,141,275,144,78,99
2026-05-05,9,115,56.44,51340,13964.67,80,19,285,508,291,313,169
